@relation Flags-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Copy-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last

@attribute zone=1 numeric
@attribute zone=2 numeric
@attribute zone=3 numeric
@attribute zone=4 numeric
@attribute area numeric
@attribute population numeric
@attribute language=1 numeric
@attribute language=2 numeric
@attribute language=3 numeric
@attribute language=4 numeric
@attribute language=5 numeric
@attribute language=6 numeric
@attribute language=7 numeric
@attribute language=8 numeric
@attribute language=9 numeric
@attribute language=10 numeric
@attribute bars numeric
@attribute stripes numeric
@attribute colours numeric
@attribute red=0 numeric
@attribute green=0 numeric
@attribute blue=0 numeric
@attribute gold=0 numeric
@attribute white=0 numeric
@attribute black=0 numeric
@attribute orange=0 numeric
@attribute mainhue=black numeric
@attribute mainhue=brown numeric
@attribute mainhue=orange numeric
@attribute mainhue=white numeric
@attribute mainhue=blue numeric
@attribute mainhue=gold numeric
@attribute mainhue=red numeric
@attribute mainhue=green numeric
@attribute circles numeric
@attribute crosses numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent=0 numeric
@attribute triangle=0 numeric
@attribute icon=0 numeric
@attribute animate=0 numeric
@attribute text=0 numeric
@attribute topleft=black numeric
@attribute topleft=brown numeric
@attribute topleft=orange numeric
@attribute topleft=white numeric
@attribute topleft=blue numeric
@attribute topleft=gold numeric
@attribute topleft=red numeric
@attribute topleft=green numeric
@attribute botright=black numeric
@attribute botright=brown numeric
@attribute botright=orange numeric
@attribute botright=white numeric
@attribute botright=blue numeric
@attribute botright=gold numeric
@attribute botright=red numeric
@attribute botright=green numeric
@attribute landmass=1 numeric
@attribute landmass=2 numeric
@attribute landmass=3 numeric
@attribute landmass=4 numeric
@attribute landmass=5 numeric
@attribute landmass=6 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
1,0,0,0,0.028926,0.015873,0,0,0,0,0,0,0,0,0,1,0,0.214286,0.571429,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
1,0,0,0,0.001295,0.002976,0,0,0,0,0,1,0,0,0,0,0,0,0.285714,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
1,0,0,0,0.106598,0.019841,0,0,0,0,0,0,0,1,0,0,0.4,0,0.285714,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.02,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571429,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0,0.285714,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,0.055665,0.006944,0,0,0,0,0,0,0,0,0,1,0,0.142857,0.285714,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.071429,0.285714,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.071429,0.571429,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,1,0,0.123962,0.027778,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.142857,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0.123962,0.027778,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.285714,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
