@relation Phishing-website-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last

@attribute having_IP_Address=1 numeric
@attribute URL_Length=1 numeric
@attribute URL_Length=0 numeric
@attribute URL_Length=-1 numeric
@attribute Shortining_Service=-1 numeric
@attribute having_At_Symbol=-1 numeric
@attribute double_slash_redirecting=1 numeric
@attribute Prefix_Suffix=1 numeric
@attribute having_Sub_Domain=-1 numeric
@attribute having_Sub_Domain=0 numeric
@attribute having_Sub_Domain=1 numeric
@attribute SSLfinal_State=-1 numeric
@attribute SSLfinal_State=1 numeric
@attribute SSLfinal_State=0 numeric
@attribute Domain_registeration_length=1 numeric
@attribute Favicon=-1 numeric
@attribute port=-1 numeric
@attribute HTTPS_token=1 numeric
@attribute Request_URL=-1 numeric
@attribute URL_of_Anchor=-1 numeric
@attribute URL_of_Anchor=0 numeric
@attribute URL_of_Anchor=1 numeric
@attribute Links_in_tags=1 numeric
@attribute Links_in_tags=-1 numeric
@attribute Links_in_tags=0 numeric
@attribute SFH=-1 numeric
@attribute SFH=1 numeric
@attribute SFH=0 numeric
@attribute Submitting_to_email=1 numeric
@attribute Abnormal_URL=1 numeric
@attribute Redirect=1 numeric
@attribute on_mouseover=-1 numeric
@attribute RightClick=-1 numeric
@attribute popUpWidnow=-1 numeric
@attribute Iframe=-1 numeric
@attribute age_of_domain=1 numeric
@attribute DNSRecord=1 numeric
@attribute web_traffic=-1 numeric
@attribute web_traffic=0 numeric
@attribute web_traffic=1 numeric
@attribute Page_Rank=1 numeric
@attribute Google_Index=-1 numeric
@attribute Links_pointing_to_page=1 numeric
@attribute Links_pointing_to_page=0 numeric
@attribute Links_pointing_to_page=-1 numeric
@attribute Statistical_report=1 numeric
@attribute class {1,-1}

@data
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1
1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-1
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1
1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-1
1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,-1
1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,-1
1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1
0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,-1
1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-1
1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,-1
